parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	aIL10+aPD1	groupControl	-91.15000000000008	272.9420049760702	-0.33395372767189685	0.7413149814058024	1	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	162.80000000000004	338.33368439167816	0.48118176673042007	0.634745348711035	1	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupControl	77.22500000000002	358.8570638057771	0.21519710154513283	0.8314318907970479	1	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	aIL10+aPD1	groupaIL10	-5.780000000000011	5.864933599875823	-0.9855184038438882	0.3342013484262255	0.6738415455044521	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	aIL10+aPD1	groupControl	1.947500000000001	6.2207014795215345	0.31306758673618157	0.7569337406992868	0.7569337406992868	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	aIL10+aPD1	groupaIL10	86.49999999999933	309.41719452521903	0.27955783172531207	0.7822119173857391	1	-1
PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	aIL10+aPD1	groupControl	-281.0250000000001	328.1864946967491	-0.8562966622367347	0.4003028256035458	1	-1
PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	aIL10+aPD1	groupaIL10	-4.919999999999993	8.44810550402532	-0.5823790905139301	0.5657430065653974	1	-1
PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	aIL10+aPD1	groupControl	-4.517499999999997	8.960569035113547	-0.5041532498993522	0.6187507725544621	1	-1
PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	aIL10+aPD1	groupaIL10	-1.5599999999999938	17.142280184983456	-0.09100306278779328	0.928245443610488	1	-1
PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	aIL10+aPD1	groupControl	-1.112499999999998	18.182133845702374	-0.06118643771082757	0.951717422322832	1	-1
PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	aIL10+aPD1	groupaIL10	-12.510000000000044	23.38604040901121	-0.5349345071335649	0.5976170321484704	1	-1
PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	aIL10+aPD1	groupControl	-21.862499999999997	24.804641637471665	-0.8813874564094868	0.3868501516906302	1	-1
LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	Control	groupaIL10	-1.2250000000000192	16.64963760464688	-0.07357517497306512	0.9419582100535032	0.9419582100535032	-1
LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	Control	groupaIL10	252.74999999999977	156.0859168454989	1.619300479556932	0.1184502877331992	0.3553508631995976	-1
LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	Control	groupaIL10	135.32499999999987	198.0129582644151	0.6834148693404937	0.5008899128983216	1	-1
LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	Control	groupaIL10	0.3160000000000002	0.6181317094825803	0.5112179089866048	0.6138696660620598	1	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	Control	groupaIL10	333.87499999999994	166.98720074321136	1.9994047358960425	0.0570083235294452	0.1710249705883356	-1
LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	Control	groupaIL10	-52.17500000000016	58.238196516394126	-0.8958896930352717	0.3792099248200257	0.7584198496400514	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	Control	groupaIL10	-3.875000000000544	369.96059106306456	-0.0104740885748558	0.9917296205153224	1	-1
LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	Control	groupaIL10	278.82499999999857	731.0880297039058	0.3813836209477045	0.7062741908911876	1	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	Control	groupaIL10	-0.16250000000000153	1.9716139882720456	-0.08241978448449698	0.934996454673468	1	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	Control	groupaIL10	1.5689999999999993	1.6268695804201487	0.9644288754817062	0.34444885979559614	0.4980295489126495	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	Control	groupaIL10	0.6374999999999982	0.7652259207720474	0.8330873049318759	0.4130097291013846	0.4130097291013846	-1
LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	Control	groupaIL10	-20.175000000000026	40.76708600500268	-0.4948845251663137	0.6251819083687757	1	-1
LN_CD3p_CD4p_TEM_TCF1n	Control	groupaIL10	1.609999999999998	3.658760127371412	0.4400397795842062	0.6638457787669294	1	-1
LN_CD3p_CD4p_TEM_TCF1p	Control	groupaIL10	-1.610000000000003	3.658760127371409	-0.4400397795842078	0.6638457787669282	1	-1
LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	Control	groupaIL10	-65.72500000000002	341.60609496656167	-0.1923999629059123	0.84904766986437	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXn	Control	groupaIL10	-0.14375000000000202	1.604541810224629	-0.08958943860732282	0.9293569384393832	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXp	Control	groupaIL10	0.7394999999999999	0.9264685362497284	0.7981922440598335	0.43258658042502174	0.8651731608500435	-1
LN_CD3p_CD8p_IRF4nTCF1pTOXn	Control	groupaIL10	-1.8325000000000005	4.362257399619573	-0.420080667445211	0.6781636340057685	1	-1
LN_CD3p_CD8p_Naive	Control	groupaIL10	3.005000000000001	4.414187000456595	0.6807595599572853	0.5025392289680312	0.5025392289680312	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	Control	groupaIL10	-1.0469999999999997	1.2749132533515484	-0.8212323444341013	0.4195972302093455	0.4651682769509457	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	Control	groupaIL10	0.11400000000000007	0.5100500238071891	0.2235074888323008	0.8250321125636203	1	-1
LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	Control	groupaIL10	10.77249999999999	18.73123533354209	0.5751088920819672	0.5705705268831271	0.5705705268831271	-1
LN_CD3p_CD8p_Naive_TCF1n	Control	groupaIL10	-0.9622500000000004	1.7280141610670363	-0.556853075443443	0.5827839095861128	0.5827839095861128	-1
LN_CD3p_CD8p_Naive_TCF1p	Control	groupaIL10	0.969999999999981	1.728615969393679	0.5611425655984271	0.5799025464648198	0.5799025464648198	-1
LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	Control	groupaIL10	530.4499999999983	461.4567535311021	1.149511836030039	0.2616717615196339	0.5233435230392678	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	Control	groupaIL10	-34.17500000000008	53.713064863714216	-0.6362511632265273	0.5306343608885132	0.5306343608885132	-1
