animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_CD25p	4.45
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_KI67p	1.02
34897	aIL10	-	1	7	-5	LN_CD3p_CD4_CD95pCD28nTEM	1.02
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.13
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	2314
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_TCM_CD39p_GAG	4.32
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_TEM_ID2p_GAG	35.2
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_CD39p_UNS	2.2
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_Naive_KI67p_UNS	1.78
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	2691
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_TCM_CD69p_UNS	3.88
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_CD39p_GAG_UNS	1.468181818181818
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_CD69p_GAG_UNS	1.87
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.8858695652173914
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	1.654929577464789
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	1.6846590909090908
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	4.216867469879517
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_TBETp_GAG_UNS	0.9846491228070174
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	1.2162162162162162
34897	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_KI67p	1.21
34897	aIL10	-	1	7	-5	MSD_Cluster_1	-0.461641810924626
34897	aIL10	-	1	7	-5	MSD_Cluster_2	-0.571391669349406
34897	aIL10	-	1	7	-5	MSD_Cluster_3	0.273728857980656
RFn17	aIL10	-	1	7	-5	IL10	0.32506294171241
RFn17	aIL10	-	1	7	-5	IL4	0.153637526025331
RFn17	aIL10	-	1	7	-5	MIP3b	61.0115088839903
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG	0.9
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	4041
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG	0.23
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_GAG	5.47
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_IFNGp_GAG	0.97
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CD39p_GAG	4.37
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	50.9
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_MFI_BCL2_UNS	2639
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2712
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_MFI_TCF1_UNS	11963
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_KI67p_UNS	5.44
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_UNS	5.2
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_KI67p_UNS	6.98
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	2
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_IFNGp_GAG_UNS	1.277777777777778
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_IL2p_GAG_UNS	1.3157894736842106
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	1.4754098360655739
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG_UNS	2.705882352941176
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.1461988304093567
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_IFNGp_GAG_UNS	2.32258064516129
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.128
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	1.0582120582120582
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_KI67p	1.65
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM	0.23
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_CD25p	5.78
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD8p_KI67p	2.07
RFn17	aIL10	-	1	7	-5	LN_CD3p_CD4_CD95pCD28nTEM	0.75
RFn17	aIL10	-	1	7	-5	PBMC_CD3p_CD8p_KI67p	0
RFn17	aIL10	-	1	7	-5	MSD_Cluster_1	-0.288070608852581
RFn17	aIL10	-	1	7	-5	MSD_Cluster_2	0.174414757057929
RFn17	aIL10	-	1	7	-5	MSD_Cluster_3	-0.0779236040442164
RHm17	aIL10	+	1	7	-5	IL10	0.442742165462582
RHm17	aIL10	+	1	7	-5	IL4	0.102771241637647
RHm17	aIL10	+	1	7	-5	MIP3b	55.0787150858331
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG	0.7
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	1445
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG	0.071
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_GAG	7.51
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_IFNGp_GAG	1.03
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TEM_CD39p_GAG	7.51
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	47
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_MFI_BCL2_UNS	2257
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2433
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_MFI_TCF1_UNS	11171
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_KI67p_UNS	5.47
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_UNS	7.61
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_KI67p_UNS	7.44
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	2.56
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_IFNGp_GAG_UNS	0.5090909090909091
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_IL2p_GAG_UNS	0.5070422535211268
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	0.6862745098039215
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG_UNS	0.7395833333333333
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	1.207317073170732
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_IFNGp_GAG_UNS	0.6326530612244898
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	1.2435897435897436
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	1.0352422907488987
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_KI67p	4.28
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4p_TEM	0.11
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_CD25p	5.88
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD8p_KI67p	2.88
RHm17	aIL10	+	1	7	-5	LN_CD3p_CD4_CD95pCD28nTEM	0.65
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_Naive_TNFAp_GAG	0.41
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	2227
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_TCM_CD39p_GAG	7.93
RHm17	aIL10	+	1	7	-5	PBMC_CD3p_CD4p_TEM_ID2p_GAG	52
